Date,days,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20180702,91,0.129978,0.168008,0.222697,0.196968,0.17558,0.162117,0.172557,0.126079,0.133047,0.129883,0.139167,0.155717
20180703,91,0.13028,0.16433,0.233798,0.198738,0.173598,0.162258,0.179265,0.122965,0.140929,0.128792,0.136492,0.157058
20180705,91,0.124169,0.165649,0.22049,0.194711,0.171282,0.160361,0.169511,0.120503,0.129087,0.127133,0.135146,0.152921
20180706,91,0.117078,0.160615,0.20675,0.189182,0.167074,0.153924,0.159716,0.117019,0.131204,0.128639,0.130775,0.146116
20180709,91,0.108651,0.152194,0.197467,0.180676,0.162637,0.144119,0.153011,0.110524,0.126412,0.134081,0.124625,0.135681
20180710,91,0.107281,0.145603,0.200976,0.179825,0.168184,0.1461,0.155246,0.108434,0.127312,0.130894,0.12139,0.134914
20180711,91,0.114079,0.15496,0.203227,0.187446,0.168948,0.155606,0.155344,0.110566,0.132771,0.133074,0.125919,0.138172
20180712,91,0.106445,0.149643,0.190037,0.180161,0.168164,0.144584,0.14938,0.107036,0.12732,0.126919,0.120107,0.134382
20180713,91,0.106303,0.148639,0.192504,0.174853,0.160347,0.144899,0.152268,0.108419,0.123564,0.130078,0.122623,0.134285
20180716,91,0.10584,0.149557,0.198798,0.181247,0.15552,0.145239,0.151072,0.110054,0.131985,0.131229,0.127674,0.133078
20180717,91,0.103508,0.148746,0.189701,0.180226,0.156757,0.144106,0.146628,0.109011,0.127886,0.126814,0.122671,0.134372
20180718,91,0.103062,0.180328,0.196769,0.176344,0.15219,0.143159,0.149935,0.111713,0.124666,0.128122,0.122815,0.131961
20180719,91,0.105426,0.14754,0.198513,0.174542,0.159297,0.144309,0.149795,0.11261,0.126914,0.128298,0.127234,0.135621
20180720,91,0.107664,0.150037,0.201288,0.172457,0.158936,0.143916,0.15431,0.109854,0.132178,0.129532,0.127212,0.137795
20180723,91,0.10673,0.154454,0.199019,0.175871,0.160832,0.146994,0.151973,0.113487,0.128243,0.134939,0.126673,0.13751
20180724,91,0.106865,0.153978,0.194102,0.171682,0.16082,0.145973,0.149489,0.110298,0.12721,0.135057,0.12516,0.134045
20180725,91,0.104093,0.14811,0.191168,0.170632,0.158469,0.129069,0.141143,0.107096,0.118666,0.130381,0.113237,0.123478
20180726,91,0.106246,0.150893,0.196498,0.170768,0.15777,0.139121,0.153564,0.114357,0.122741,0.131718,0.120164,0.131051
20180727,91,0.109137,0.152589,0.207922,0.166319,0.155906,0.138082,0.15815,0.113782,0.128554,0.131774,0.123548,0.135075
20180730,91,0.114637,0.154503,0.219529,0.17229,0.16127,0.145334,0.17167,0.117413,0.129435,0.13674,0.128603,0.137403
20180731,91,0.111918,0.150956,0.214606,0.169253,0.160885,0.14073,0.168557,0.114891,0.122733,0.137634,0.125662,0.136398
20180801,91,0.111958,0.156244,0.211601,0.171493,0.158002,0.153129,0.158041,0.113537,0.122342,0.136755,0.12465,0.139925
20180802,91,0.108047,0.153432,0.199174,0.169301,0.155187,0.148059,0.148562,0.112039,0.126621,0.135523,0.121449,0.133298
20180803,91,0.104634,0.157678,0.190378,0.165279,0.1504,0.143083,0.14192,0.113463,0.118481,0.132491,0.118811,0.130331
20180806,91,0.104289,0.154411,0.188885,0.16785,0.148295,0.143896,0.142808,0.108665,0.124633,0.131796,0.11921,0.135826
20180807,91,0.101833,0.152958,0.187781,0.16422,0.146339,0.140823,0.138369,0.111553,0.123042,0.131235,0.117062,0.140077
20180808,91,0.104363,0.156883,0.191283,0.16632,0.148242,0.141677,0.139101,0.111142,0.129466,0.132353,0.118692,0.138251
20180809,91,0.10637,0.153253,0.185626,0.167341,0.153513,0.142396,0.139784,0.110673,0.131793,0.129185,0.120044,0.132713
20180810,91,0.113381,0.161669,0.196949,0.168892,0.161937,0.151821,0.149224,0.118225,0.123638,0.135472,0.129337,0.142498
20180813,91,0.119681,0.166156,0.202531,0.17679,0.172043,0.15599,0.155921,0.120662,0.123228,0.135558,0.13322,0.143494
20180814,91,0.112842,0.158845,0.194487,0.176774,0.162956,0.150407,0.148329,0.119775,0.129087,0.134946,0.128338,0.137838
20180815,91,0.121094,0.169674,0.207797,0.193844,0.174526,0.157261,0.161229,0.118945,0.129802,0.132128,0.136277,0.137622
20180816,91,0.114149,0.163351,0.204263,0.186285,0.158637,0.146882,0.152341,0.117091,0.115674,0.130401,0.126527,0.13449
20180817,91,0.111973,0.157645,0.210237,0.18058,0.162804,0.150226,0.15766,0.118258,0.107261,0.129807,0.130356,0.134141
20180820,91,0.11173,0.156346,0.203416,0.174268,0.158901,0.146041,0.156789,0.116101,0.113898,0.130386,0.131744,0.130621
20180821,91,0.112449,0.149025,0.20059,0.172594,0.155894,0.148669,0.157227,0.119743,0.12058,0.130883,0.131138,0.134357
20180822,91,0.113087,0.149021,0.194472,0.175647,0.162261,0.15138,0.15282,0.121249,0.118913,0.131035,0.132522,0.134409
20180823,91,0.111825,0.151423,0.200219,0.172258,0.15734,0.148147,0.151242,0.121316,0.124346,0.132298,0.126016,0.132399
20180824,91,0.110549,0.14332,0.189346,0.171451,0.151249,0.142629,0.147656,0.117255,0.112655,0.126335,0.122338,0.129268
20180827,91,0.108524,0.140505,0.1932,0.170122,0.151629,0.139599,0.146288,0.117066,0.116511,0.127537,0.123312,0.125531
20180828,91,0.109049,0.143507,0.19088,0.172033,0.152166,0.142157,0.146079,0.11642,0.106777,0.128531,0.120974,0.125274
20180829,91,0.110473,0.142982,0.190897,0.166759,0.152576,0.141269,0.147374,0.115276,0.124089,0.124664,0.119583,0.127283
20180830,91,0.115675,0.148593,0.197094,0.170122,0.156962,0.144435,0.154217,0.118772,0.114352,0.125776,0.121627,0.130743
20180831,91,0.113988,0.151044,0.202041,0.172448,0.156221,0.144129,0.154652,0.120441,0.118426,0.125789,0.121043,0.13171
20180904,91,0.116711,0.15285,0.209842,0.172625,0.155974,0.147206,0.160045,0.118836,0.135715,0.129292,0.12739,0.136783
20180905,91,0.120779,0.149671,0.216962,0.177643,0.158971,0.146256,0.168616,0.119553,0.123771,0.127983,0.125352,0.140785
20180906,91,0.122853,0.155571,0.22618,0.183897,0.159603,0.149297,0.169577,0.119937,0.119469,0.126285,0.128399,0.139254
20180907,91,0.125603,0.158081,0.226676,0.184185,0.160654,0.150756,0.175352,0.116624,0.133833,0.134029,0.129484,0.145494
20180910,91,0.122564,0.154842,0.21862,0.18144,0.161085,0.14818,0.170031,0.122228,0.13268,0.133196,0.12613,0.142845
20180911,91,0.119847,0.151321,0.213891,0.182198,0.15781,0.145953,0.162232,0.119289,0.129083,0.131942,0.126435,0.140913
20180912,91,0.117507,0.149681,0.21146,0.178121,0.159365,0.143956,0.164102,0.117991,0.129743,0.127874,0.127361,0.141101
20180913,91,0.109904,0.144568,0.196474,0.173579,0.154463,0.135597,0.152711,0.113974,0.128564,0.12787,0.119738,0.132999
20180914,91,0.108959,0.143894,0.200189,0.175083,0.150222,0.135811,0.153573,0.114539,0.129423,0.128015,0.119952,0.13756
20180917,91,0.111754,0.142593,0.210601,0.175498,0.152633,0.135932,0.163344,0.114086,0.116404,0.127679,0.122039,0.142731
20180918,91,0.114289,0.143769,0.202291,0.17407,0.153649,0.137634,0.159535,0.116931,0.122313,0.128266,0.121528,0.137053
20180919,91,0.11053,0.143663,0.204325,0.171224,0.149986,0.138196,0.159872,0.115775,0.12778,0.133496,0.119726,0.134633
20180920,91,0.106647,0.135739,0.197492,0.162349,0.143342,0.133875,0.148974,0.109201,0.122555,0.130431,0.114499,0.130526
20180921,91,0.107246,0.132704,0.193278,0.159308,0.142735,0.121014,0.155392,0.108337,0.121492,0.129849,0.117129,0.134974
20180924,91,0.112882,0.141138,0.199222,0.166245,0.153157,0.138043,0.156863,0.115412,0.121803,0.132302,0.118921,0.140926
